사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020120400100256,2020년 12월 4일 13시,금요일,서울특별시 강남구 청담동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,22세,상해없음,화물,남,24세,경상
2020120400100293,2020년 12월 4일 14시,금요일,서울특별시 강남구 개포동,경상사고,0,0,3,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 터널,승용,남,28세,상해없음,승용,여,58세,경상
2020120400100355,2020년 12월 4일 16시,금요일,서울특별시 강남구 압구정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,남,63세,경상
2020120400100356,2020년 12월 4일 16시,금요일,서울특별시 강남구 논현동,경상사고,0,0,2,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,41세,경상,승용,여,44세,경상
2020120400100398,2020년 12월 4일 17시,금요일,서울특별시 강남구 논현동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,기타불명,보행자,남,62세,중상
2020120400100464,2020년 12월 4일 18시,금요일,서울특별시 강남구 대치동,경상사고,0,0,3,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,68세,상해없음,승합,남,69세,경상
2020120400100565,2020년 12월 4일 20시,금요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,67세,상해없음,보행자,남,52세,경상
2020120400100600,2020년 12월 4일 21시,금요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,25세,상해없음,이륜,남,36세,중상
2020120400100638,2020년 12월 4일 22시,금요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,기타 - 기타,승용,남,47세,상해없음,승용,남,34세,경상
2020120400100659,2020년 12월 4일 23시,금요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,승용,남,33세,경상
2020120500100137,2020년 12월 5일 11시,토요일,서울특별시 강남구 개포동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 터널,승용,여,46세,상해없음,승용,남,23세,경상
2020120500100328,2020년 12월 5일 16시,토요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,36세,상해없음,승용,여,24세,경상
2020120500100354,2020년 12월 5일 17시,토요일,서울특별시 강남구 논현동,중상사고,0,2,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,64세,상해없음,승용,남,29세,중상
2020120500100360,2020년 12월 5일 17시,토요일,서울특별시 강남구 개포동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,36세,상해없음,이륜,남,42세,중상
2020120500100404,2020년 12월 5일 18시,토요일,서울특별시 강남구 개포동,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,39세,부상신고,승용,남,32세,상해없음
2020120500100482,2020년 12월 5일 20시,토요일,서울특별시 강남구 논현동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,남,35세,경상
2020120500100549,2020년 12월 5일 23시,토요일,서울특별시 강남구 논현동,중상사고,0,1,1,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,26세,상해없음,승용,남,45세,중상
2020120600100334,2020년 12월 6일 19시,일요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,48세,상해없음,이륜,남,34세,경상
2020120600100375,2020년 12월 6일 21시,일요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대차 - 추돌,기타,포장 - 건조,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,승용,남,68세,상해없음
2020120700100016,2020년 12월 7일 04시,월요일,서울특별시 강남구 일원동,부상신고사고,0,0,0,1,차대차 - 추돌,과속,포장 - 건조,맑음,단일로 - 기타,화물,남,36세,부상신고,화물,남,63세,상해없음
2020120700100021,2020년 12월 7일 05시,월요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,55세,상해없음,,,,
2020120700100050,2020년 12월 7일 07시,월요일,서울특별시 강남구 역삼동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,36세,경상,승용,여,26세,경상
2020120700100192,2020년 12월 7일 12시,월요일,서울특별시 강남구 대치동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,기타,단일로 - 기타,개인형이동수단(PM),남,19세,상해없음,이륜,남,22세,경상
2020120700100259,2020년 12월 7일 15시,월요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,61세,상해없음,이륜,남,56세,중상
2020120700100340,2020년 12월 7일 17시,월요일,서울특별시 강남구 대치동,부상신고사고,0,0,0,1,차대사람 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,여,28세,상해없음,보행자,남,56세,부상신고
2020120700100460,2020년 12월 7일 20시,월요일,서울특별시 강남구 논현동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,49세,상해없음,이륜,남,42세,중상
2020120700100514,2020년 12월 7일 22시,월요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로안,승용,남,43세,상해없음,승용,남,69세,경상
2020120800100023,2020년 12월 8일 06시,화요일,서울특별시 강남구 개포동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,29세,상해없음,승용,남,28세,경상
2020120800100065,2020년 12월 8일 08시,화요일,서울특별시 강남구 삼성동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,45세,중상,승용,여,40세,상해없음
2020120800100113,2020년 12월 8일 09시,화요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,46세,상해없음,승용,남,65세,경상
2020120800100145,2020년 12월 8일 10시,화요일,서울특별시 강남구 대치동,경상사고,0,0,1,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 지하차도(도로)내,승합,남,55세,상해없음,승용,남,34세,부상신고
2020120800100170,2020년 12월 8일 11시,화요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,51세,상해없음,이륜,남,34세,중상
2020120800100171,2020년 12월 8일 11시,화요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,54세,기타불명,보행자,남,59세,경상
2020120800100269,2020년 12월 8일 14시,화요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,여,31세,상해없음,승용,남,61세,경상
2020120800100270,2020년 12월 8일 14시,화요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,상해없음,보행자,여,45세,경상
2020120800100324,2020년 12월 8일 15시,화요일,서울특별시 강남구 수서동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,58세,상해없음,이륜,남,45세,경상
2020120800100325,2020년 12월 8일 15시,화요일,서울특별시 강남구 세곡동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,여,46세,상해없음,승용,여,43세,경상
2020120800100356,2020년 12월 8일 16시,화요일,서울특별시 강남구 신사동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,72세,상해없음,승용,여,37세,경상
2020120800100397,2020년 12월 8일 17시,화요일,서울특별시 강남구 삼성동,부상신고사고,0,0,0,1,차대차 - 기타,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,여,65세,상해없음,이륜,남,32세,부상신고
2020120800100517,2020년 12월 8일 19시,화요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,이륜,남,48세,경상
2020120900100044,2020년 12월 9일 07시,수요일,서울특별시 강남구 청담동,경상사고,0,0,2,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,32세,상해없음,승용,여,47세,경상
2020120900100045,2020년 12월 9일 07시,수요일,서울특별시 강남구 도곡동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,상해없음,승용,남,73세,상해없음
2020120900100072,2020년 12월 9일 08시,수요일,서울특별시 강남구 신사동,경상사고,0,0,2,0,차대차 - 측면충돌,과속,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,35세,경상,승용,여,74세,경상
2020120900100123,2020년 12월 9일 09시,수요일,서울특별시 강남구 대치동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,55세,상해없음,승용,남,48세,경상
2020120900100156,2020년 12월 9일 10시,수요일,서울특별시 강남구 도곡동,경상사고,0,0,1,1,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,28세,부상신고,승용,남,40세,경상
2020120900100326,2020년 12월 9일 16시,수요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,승용,남,44세,경상
2020120900100351,2020년 12월 9일 17시,수요일,서울특별시 강남구 삼성동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,66세,기타불명,승용,남,62세,경상
2020120900100353,2020년 12월 9일 17시,수요일,서울특별시 강남구 도곡동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,37세,상해없음,이륜,남,30세,중상
2020120900100473,2020년 12월 9일 19시,수요일,서울특별시 강남구 청담동,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,기타,단일로 - 기타,승용,여,20세,경상,승용,남,56세,경상
2020120900100544,2020년 12월 9일 21시,수요일,서울특별시 강남구 압구정동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,40세,상해없음,승용,여,21세,경상
2020120900100545,2020년 12월 9일 21시,수요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,48세,경상
2020121000100186,2020년 12월 10일 13시,목요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 정면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,35세,상해없음,이륜,남,35세,경상
2020121000100218,2020년 12월 10일 14시,목요일,서울특별시 강남구 삼성동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,이륜,남,55세,부상신고,승용,남,78세,상해없음
2020121000100348,2020년 12월 10일 18시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,3,차대차 - 기타,안전운전불이행,포장 - 건조,흐림,단일로 - 기타,승용,남,55세,상해없음,승용,남,58세,경상
2020121000100349,2020년 12월 10일 18시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,남,45세,경상
2020121000100484,2020년 12월 10일 21시,목요일,서울특별시 강남구 청담동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승용,여,29세,경상
2020121000100488,2020년 12월 10일 21시,목요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,포장 - 건조,맑음,기타 - 기타,개인형이동수단(PM),남,34세,상해없음,보행자,남,28세,경상
2020121100100050,2020년 12월 11일 07시,금요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,여,52세,상해없음,이륜,남,32세,경상
2020121100100069,2020년 12월 11일 08시,금요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 건조,기타,기타 - 기타,개인형이동수단(PM),여,26세,상해없음,보행자,여,39세,경상
2020121100100127,2020년 12월 11일 11시,금요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 기타,기타,포장 - 기타,맑음,단일로 - 기타,이륜,남,41세,상해없음,보행자,남,2세,경상
2020121100100130,2020년 12월 11일 11시,금요일,서울특별시 강남구 역삼동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,개인형이동수단(PM),여,29세,중상,이륜,남,38세,상해없음
2020121100100224,2020년 12월 11일 14시,금요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,30세,상해없음,이륜,남,33세,경상
2020121100100333,2020년 12월 11일 17시,금요일,서울특별시 강남구 역삼동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,35세,경상
2020121100100459,2020년 12월 11일 19시,금요일,서울특별시 강남구 삼성동,경상사고,0,0,2,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,기타 - 기타,승용,여,37세,상해없음,승용,남,67세,경상
2020121200100016,2020년 12월 12일 02시,토요일,서울특별시 강남구 논현동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,남,59세,상해없음
